Location,Subject,Title,Author,Publisher,Published,Tags
AA,Arctic,Death in the Clouds,"Christie, Agatha ",Fontana,1976,paperback; mystery; murder; agatha christie; poirot; bees; airplane
AAS,Arctic - Sculpture,Mischling,"Konar, Affinity ",Lee Boudreaux Books,2016,paperback; WWII; Jewish; twins; holocost; concentration camp
AAS,Arctic - Sculpture,Ubik,"Dick, Philip K. ",Weidenfeld & Nicolson,2017,
AN,Northwest Coast,Severance,"Ma, Ling ",Picador,2019,
ANT,Northwest Coast - Totems,Sation Eleven,"St. John Mandel, Emily ",Vintage Books,2015,
